2023-12-20 20:41:56.260382 INFO::Writing function arguments to log file
2023-12-20 20:41:56.2647 DEBUG::Function arguments
2023-12-20 20:41:56.268112 DEBUG::Output folder: outputs/differential_abundance_16S_ASVs/lmm_maaslin2/ASVs/complete_model
2023-12-20 20:41:56.268319 DEBUG::Min Abundance: 0.000000
2023-12-20 20:41:56.268473 DEBUG::Min Prevalence: 0.120000
2023-12-20 20:41:56.268611 DEBUG::Normalization: CLR
2023-12-20 20:41:56.268744 DEBUG::Transform: NONE
2023-12-20 20:41:56.268873 DEBUG::Analysis method: LM
2023-12-20 20:41:56.269003 DEBUG::Max significance: 0.050000
2023-12-20 20:41:56.269141 DEBUG::Random effects: mouse_id
2023-12-20 20:41:56.269275 DEBUG::Fixed effects: genotype,timepoint
2023-12-20 20:41:56.269408 DEBUG::Correction method: BH
2023-12-20 20:41:56.269642 DEBUG::Standardize: TRUE
2023-12-20 20:41:56.269814 DEBUG::Cores: 1
2023-12-20 20:42:01.101837 INFO::Fitting model to feature number 210, ASV211
2023-12-20 20:42:01.129046 INFO::Fitting model to feature number 211, ASV212
2023-12-20 20:42:01.148177 INFO::Fitting model to feature number 212, ASV213
2023-12-20 20:42:01.167374 INFO::Fitting model to feature number 213, ASV215
2023-12-20 20:42:01.187037 INFO::Fitting model to feature number 214, ASV216
2023-12-20 20:42:01.207333 INFO::Fitting model to feature number 215, ASV217
2023-12-20 20:42:01.227086 INFO::Fitting model to feature number 216, ASV218
2023-12-20 20:42:01.246535 INFO::Fitting model to feature number 217, ASV219
2023-12-20 20:42:01.275908 INFO::Fitting model to feature number 218, ASV220
2023-12-20 20:42:01.296761 INFO::Fitting model to feature number 219, ASV221
2023-12-20 20:42:01.317961 INFO::Fitting model to feature number 220, ASV222
2023-12-20 20:42:01.33871 INFO::Fitting model to feature number 221, ASV223
2023-12-20 20:42:01.357854 INFO::Fitting model to feature number 222, ASV224
2023-12-20 20:42:01.377055 INFO::Fitting model to feature number 223, ASV225
2023-12-20 20:42:01.39666 INFO::Fitting model to feature number 224, ASV226
2023-12-20 20:42:01.422457 INFO::Fitting model to feature number 225, ASV227
2023-12-20 20:42:01.442705 INFO::Fitting model to feature number 226, ASV228
2023-12-20 20:42:01.462286 INFO::Fitting model to feature number 227, ASV229
2023-12-20 20:42:01.481633 INFO::Fitting model to feature number 228, ASV230
2023-12-20 20:42:01.500605 INFO::Fitting model to feature number 229, ASV231
2023-12-20 20:42:01.520793 INFO::Fitting model to feature number 230, ASV232
2023-12-20 20:42:01.541065 INFO::Fitting model to feature number 231, ASV233
2023-12-20 20:42:01.561378 INFO::Fitting model to feature number 232, ASV234
2023-12-20 20:42:01.586548 INFO::Fitting model to feature number 233, ASV235
2023-12-20 20:42:01.605445 INFO::Fitting model to feature number 234, ASV236
2023-12-20 20:42:01.624652 INFO::Fitting model to feature number 235, ASV237
2023-12-20 20:42:01.6444 INFO::Fitting model to feature number 236, ASV238
2023-12-20 20:42:01.664275 INFO::Fitting model to feature number 237, ASV239
2023-12-20 20:42:01.685617 INFO::Fitting model to feature number 238, ASV240
2023-12-20 20:42:01.705881 INFO::Fitting model to feature number 239, ASV241
2023-12-20 20:42:01.732394 INFO::Fitting model to feature number 240, ASV242
2023-12-20 20:42:01.752105 INFO::Fitting model to feature number 241, ASV243
2023-12-20 20:42:01.770934 INFO::Fitting model to feature number 242, ASV244
2023-12-20 20:42:01.790755 INFO::Fitting model to feature number 243, ASV245
2023-12-20 20:42:01.810641 INFO::Fitting model to feature number 244, ASV246
2023-12-20 20:42:01.830449 INFO::Fitting model to feature number 245, ASV247
2023-12-20 20:42:01.850427 INFO::Fitting model to feature number 246, ASV249
2023-12-20 20:42:01.876839 INFO::Fitting model to feature number 247, ASV250
2023-12-20 20:42:01.895642 INFO::Fitting model to feature number 248, ASV251
2023-12-20 20:42:01.916506 INFO::Fitting model to feature number 249, ASV253
2023-12-20 20:42:01.942271 INFO::Fitting model to feature number 250, ASV254
2023-12-20 20:42:01.962401 INFO::Fitting model to feature number 251, ASV256
2023-12-20 20:42:01.982231 INFO::Fitting model to feature number 252, ASV257
2023-12-20 20:42:02.003525 INFO::Fitting model to feature number 253, ASV258
2023-12-20 20:42:02.030735 INFO::Fitting model to feature number 254, ASV259
2023-12-20 20:42:02.049734 INFO::Fitting model to feature number 255, ASV260
2023-12-20 20:42:02.070367 INFO::Fitting model to feature number 256, ASV261
2023-12-20 20:42:02.091296 INFO::Fitting model to feature number 257, ASV262
