feature	ASV1	ASV2	ASV3	ASV4	ASV10	ASV11	ASV13	ASV15	ASV17	ASV18	ASV27	ASV28	ASV33	ASV36	ASV53	ASV62	ASV63	ASV67	ASV68	ASV73	ASV74	ASV76	ASV81	ASV82	ASV86	ASV87	ASV88	ASV90	ASV93	ASV99	ASV100	ASV105	ASV107	ASV108	ASV117	ASV121	ASV126	ASV129	ASV137	ASV138	ASV139	ASV147	ASV148	ASV161	ASV169	ASV182	ASV188	ASV190	ASV205	ASV215	ASV226	ASV228	ASV233	ASV234	ASV238	ASV240	ASV245	ASV261	ASV262	ASV263	ASV275	ASV301	ASV348	ASV362	ASV365	ASV369	ASV399	ASV404	ASV412	ASV414	ASV419	ASV439	ASV449	ASV493	ASV498	ASV504	ASV530
Preg.Feces.PD.2230.week3	2168	319	6678	9101	2211	247	1662	175	0	808	590	17	88	414	289	59	2937	106	22	16	51	1662	0	10	36	186	62	207	53	173	144	53	82	482	436	0	10	30	52	98	21	0	244	97	24	12	0	0	57	9	0	11	78	5	9	3	38	10	12	0	5	6	20	12	0	4	9	0	23	10	0	6	5	0	4	7	0
Preg.Feces.PD.2230.week6.2	1995	301	4468	46	3304	402	15	245	0	543	256	132	160	749	129	27	14	42	97	28	21	1448	84	29	26	91	75	268	51	250	425	0	331	358	26	0	12	149	98	0	61	0	15	85	30	33	0	0	38	15	0	6	90	7	43	14	68	14	13	0	18	3	9	6	0	0	6	3	3	0	3	0	0	0	2	0	0
Preg.Feces.PD.2238.week0	1356	220	12538	498	1977	451	159	311	93	792	203	281	51	222	100	61	90	75	25	13	71	740	39	101	223	191	94	134	15	145	81	0	154	196	35	0	67	14	28	38	24	34	47	83	24	15	3	15	41	0	0	38	74	6	9	0	26	11	0	0	13	7	0	8	12	0	0	7	14	0	0	0	4	0	5	4	0
Preg.Feces.PD.2238.week3	1424	2788	6441	1931	5284	215	1873	3114	34	321	226	53	43	919	261	47	1298	168	169	11	38	2739	6	19	83	122	349	333	72	264	278	0	158	638	437	0	52	154	15	105	41	0	30	199	16	63	0	0	106	0	0	12	150	8	7	4	93	4	0	0	0	11	0	0	0	0	5	0	4	7	19	8	0	0	4	0	0
Preg.Feces.PD.2238.week6.2	786	489	2962	37	2504	378	0	1381	2	486	176	543	12	1080	60	94	0	84	682	132	5	1898	8	69	159	49	7	200	71	176	235	0	317	98	48	0	0	96	5	185	61	0	0	87	39	30	17	2	94	0	0	0	84	0	13	11	60	18	0	5	0	0	0	0	0	0	4	0	0	0	18	0	7	0	0	0	0
Preg.Feces.PD.2239.week0	1606	166	15106	454	735	1130	426	7	1011	225	374	13	605	50	168	266	64	32	8	5	685	444	573	387	218	598	69	89	13	105	44	0	60	167	27	0	113	18	136	30	19	298	73	17	11	5	8	124	26	0	0	72	32	60	7	0	7	6	0	0	40	0	0	23	47	2	0	15	8	11	0	0	0	0	0	0	0
Preg.Feces.PD.2239.week3	2257	1375	6425	353	3579	321	1904	648	438	222	426	101	121	819	377	61	219	106	44	29	43	1709	9	49	114	213	304	267	72	288	223	0	233	709	440	181	65	191	104	53	41	44	95	114	60	69	17	19	201	19	0	20	195	40	14	5	73	6	0	0	16	23	44	38	7	14	0	3	11	4	22	14	0	7	0	0	7
Preg.Feces.PD.2239.week6.2	1801	366	6382	396	1928	751	19	576	4	103	400	756	111	616	19	186	59	191	69	90	19	1035	11	91	355	220	0	175	67	167	658	0	356	324	20	92	18	157	245	102	103	134	17	141	111	37	5	13	123	0	0	6	164	2	40	23	44	109	0	5	0	11	6	0	0	0	0	0	0	0	9	0	0	0	0	0	3
Preg.Feces.PD.2251.week0	1062	152	7827	187	1095	280	47	31	192	412	122	147	128	96	118	13	22	30	27	15	40	420	20	50	104	225	54	139	68	60	44	0	115	139	15	19	0	12	82	27	27	0	24	51	37	14	0	23	30	0	0	25	41	9	20	10	0	16	5	15	29	4	0	7	0	10	6	0	0	0	3	0	0	0	0	0	0
Preg.Feces.PD.2251.week6.2	3150	1201	3868	106	4588	704	34	945	2	823	295	33	245	2335	487	144	41	324	133	112	72	2750	28	48	39	81	240	491	80	426	273	3	539	611	20	52	35	101	135	95	52	6	19	135	49	81	0	0	244	9	0	7	247	6	41	24	118	36	39	0	3	28	23	14	0	17	10	3	3	0	13	0	8	0	5	0	0
