feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV27	timepoint	w3	0.11606352803442	0.310890058521312	86	78	0.710317465650367	0.791307312051104
ASV62	genotype	KO	-0.0574395118876701	0.157306849037073	86	76	0.71594471090338	0.791307312051104
ASV182	genotype	KO	-0.0857246351380457	0.22134623389913	86	24	0.701607026483464	0.791307312051104
ASV399	timepoint	w3	0.0773669336478901	0.209662961518892	86	1	0.713523847273946	0.791307312051104
ASV414	timepoint	w6	-0.0658199672136533	0.175669840755777	86	0	0.708865764346027	0.791307312051104
ASV530	timepoint	w3	0.053541801025561	0.142415478686511	86	0	0.708380755596402	0.791307312051104
ASV121	timepoint	w3	0.145236070759834	0.42487090136838	86	41	0.733767791706174	0.807144570876792
ASV147	timepoint	w6	0.177334530791141	0.563216061681564	86	23	0.754049386055118	0.821718249455708
ASV226	genotype	KO	-0.132016106320994	0.417237106888169	86	14	0.754131034132511	0.821718249455708
ASV205	genotype	KO	-0.0594408082777407	0.198156767703281	86	69	0.766509941992599	0.831285430048312
ASV73	timepoint	w3	-0.0657964534202068	0.231585306975756	86	44	0.777374702656432	0.835019598339775
ASV88	timepoint	w3	-0.0989524460751277	0.355998455759576	86	63	0.782076237771554	0.835019598339775
ASV148	timepoint	w3	0.0821870549481615	0.292911100496257	86	39	0.780066804969168	0.835019598339775
ASV169	timepoint	w3	-0.0438471922305412	0.159751156817964	86	33	0.784412349955546	0.835019598339775
ASV504	timepoint	w6	-0.0469591165108282	0.174123727497078	86	0	0.788077642180472	0.83507309790683
ASV11	timepoint	w6	-0.0410997520887782	0.169717862954401	86	85	0.809546886395566	0.846177967227944
ASV148	genotype	KO	0.0721196403851668	0.290692788245693	86	39	0.80593316969581	0.846177967227944
ASV182	timepoint	w6	0.0551821712339674	0.224793535917995	86	24	0.807001367903752	0.846177967227944
ASV412	timepoint	w6	0.0505142272395052	0.235636725393928	86	2	0.831045573029821	0.864736609774273
ASV93	timepoint	w6	0.0462156263835194	0.224555320889509	86	59	0.837695584556294	0.867747444091946
ASV365	genotype	KO	-0.04715770553979	0.260880837342129	86	5	0.857921861112125	0.884731919271879
ASV139	timepoint	w3	-0.0216669059709544	0.154931842377097	86	41	0.889283008868926	0.912997222438764
ASV107	genotype	KO	-0.0196921694241178	0.14632416439452	86	86	0.893934794518924	0.913712112981732
ASV348	genotype	KO	0.0280316224611346	0.260402408240917	86	0	0.915068951298124	0.931193514316593
ASV414	genotype	KO	0.0142100052775337	0.14444332728786	86	0	0.921872451663161	0.93400235234294
ASV90	timepoint	w3	-0.00769115466561752	0.114771368972207	86	86	0.946811422901845	0.955080518298367
ASV93	timepoint	w3	0.00772497119750634	0.226601739240105	86	59	0.972926354442021	0.977156469026552
ASV67	genotype	KO	0.00276829314677976	0.148628343257965	86	78	0.985275301077098	0.985275301077098
